Ambito,Quesito,Percentuale sicurezza,Risoluzione,Note,,#
,"L’instabilità dell’equilibrio. Il candidato relazioni nel merito con particolare riferimento a:
1. Descrizione ingegneristica del fenomeno;
2. Esposizione, trattazione analitica ed esempi significativi del fenomeno dell’instabilità dell’equilibrio
in regime di presso-flessione e flesso-torsione;
3. Aspetti normativi e progettuali","30,00%",,,,11
,"Il candidato esponga i concetti di struttura isostatica e iperstatica fornendo esempi applicativi al
riguardo.","90,00%",,,,12
,"L’acciaio quale materiale da costruzione. Il candidato esponga le sue conoscenze in merito con
particolare riferimento a:
1. Comportamento costitutivo (linearità, snervamento, nonlinearità, duttilità, rottura);
2. Classificazione dei profili e sue motivazioni;
3. Connessioni;
4. Solai. ","50,00%",,,,13
,"Il candidato tratti a sua scelta uno dei seguenti temi:
a- Con riferimento alla progettazione e all’esecuzione di un’opera di ingegneria nella
 propria area di competenza, esponga il quadro normativo vigente evidenziando
 i ruoli e gli oneri cui l’ingegnere è soggetto ivi compresi, oltre a quelli strettamente
 tecnici, i rapporti con la committenza nei casi di opera pubblica o privata

","20,00%",,,,14
,"b- Descriva i processi depurativi (chimici e biologici) utilizzati per la depurazione delle
acque di scarico civili.","80,00%",,,,35
,c- Descriva le caratteristiche principali dei sistemi di fognatura urbana.,"80,00%",,,,36
,"Fatto riferimento a sezioni in cemento armato (travi e pilastri) sollecitate a flessione
 retta, riportare la trattazione di Saint Venant per il calcolo delle componenti normali
 di sforzo che ne conseguono.
 Successivamente, anche alla luce delle vigenti Norme Tecniche per le Costruzioni,
 delineare i metodi per Il calcolo e la verifica delle armature longitudinali in strutture
 in cemento armato.
","20,00%",,,,15
,"Illustrare un possibile schema impiantistico per la potabilizzazione di un’acqua attinta
 da falda profonda contenente ferro, manganese e arsenico riportando, per ciascun
trattamento, finalità, vantaggi /svantaggi e parametri di dimensionamento.
","20,00%",,,,33
,"b- c- Illustrare le problematiche connesse con le velocità minime di autopulizia nei
condotti di fognatura di sistemi misto e separato e i possibili interventi per la
rimozione dei sedimenti.","80,00%",,,,34
,"Il Candidato illustri il ruolo dell’ingegnere e delle tecniche ingegneristiche
nell’attività di protezione del territorio e dell’ambiente. Illustri e discuta, con
riferimento all’ambito del proprio settore, anche tenendo conto degli aspetti di
etica professionale, quali sono le priorità, le tecnologie, le sinergie e i contributi
verso altre discipline.","90,00%","Il Ruolo dell'Ingegnere nella Tutela del Territorio e dell'Ambiente
La salvaguardia del territorio e la tutela dell'ambiente rappresentano oggi sfide cruciali, caratterizzate da una complessità crescente dovuta ai cambiamenti climatici, alla pressione antropica e alla necessità di una transizione ecologica sostenibile.

In questo contesto, la figura dell'ingegnere si pone come cerniera fondamentale tra la comprensione scientifica dei fenomeni naturali e l'applicazione pratica di soluzioni tecnologiche atte a mitigare i rischi, conservare le risorse e ripristinare gli equilibri ecosistemici degradati.

1. Priorità Strategiche nel Settore Civile-Ambientale
L'attività dell'ingegnere civile e ambientale si articola su precise priorità d'azione, mirate a garantire la resilienza del territorio e la sostenibilità dei processi:

Mitigazione del rischio idrogeologico e difesa del suolo: Progettazione di interventi strutturali e non strutturali per la gestione delle piene, la stabilizzazione dei versanti franosi e la difesa delle coste.

Gestione sostenibile delle risorse idriche: Pianificazione degli approvvigionamenti idrici, ottimizzazione delle reti di distribuzione e sistemi avanzati di depurazione delle acque reflue per favorirne il riutilizzo.

Decarbonizzazione e transizione energetica: Integrazione dei sistemi di produzione da fonti rinnovabili nel tessuto urbano e territoriale, riducendo l'impronta di carbonio delle infrastrutture.

Bonifica e ripristino dei siti contaminati: Recupero di aree industriali dismesse (brownfields) attraverso tecnologie di risanamento del suolo e delle acque sotterranee.

Economia circolare nella gestione dei rifiuti: Transizione dal concetto di ""smaltimento"" a quello di ""recupero di materia ed energia"", ottimizzando i cicli di vita dei prodotti.

2. Tecnologie e Tecniche Ingegneristiche Chiave
Le tecnologie a disposizione dell'ingegnere moderno consentono un approccio quantitativo, predittivo e mirato alla gestione ambientale. Esse si dividono principalmente in due categorie:

Tecniche di Monitoraggio e Modellazione (Prevenzione)
Sistemi Informativi Geografici (GIS) e Telerilevamento: Strumenti indispensabili per la mappatura del territorio, l'analisi dell'uso del suolo e il monitoraggio in tempo reale dei dissesti idrogeologici tramite dati satellitari (es. Sentinel) o rilievi LiDAR con droni.

Modellistica Numerica: Simulazioni idrauliche, idrologiche e idrogeologiche (monodimensionali e bidimensionali) per prevedere il comportamento dei corsi d'acqua o la propagazione di inquinanti negli acquiferi e in atmosfera.

Tecnologie di Intervento (Mitigazione e Adattamento)
Ingegneria Naturalistica: Tecniche che utilizzano piante vive o parti di esse (spesso in combinazione con materiali inerti come legno, pietra o geotessili) per la stabilizzazione dei versanti e la riduzione dell'erosione, coniugando l'efficacia strutturale al basso impatto paesaggistico.

Nature-Based Solutions (NBS): Interventi ispirati e supportati dalla natura, come i sistemi di drenaggio urbano sostenibile (SUDS), tetti verdi e aree umide artificiali (wetlands) per la fitodepurazione e la laminazione delle piene.

Trattamenti Avanzati di Depurazione: Processi a membrana (es. bioreattori a membrana - MBR), ossidazione avanzata (AOP) e processi di digestione anaerobica per la valorizzazione energetica dei fanghi di supero.

3. Sinergie e Contributi Multidisciplinari
L'ambiente è un sistema complesso e non lineare; per questo motivo, l'approccio puramente settoriale è destinato a fallire. L'ingegnere ambientale opera come integratore di competenze, creando sinergie con diverse discipline:

                      +-----------------------------+
                      |     INGEGNERE AMBIENTALE    |
                      +--------------+--------------+
                                     |
         +---------------------------+---------------------------+
         |                           |                           |
+--------v--------+         +--------v--------+         +--------v--------+
| SCIENZE MILIARI |         |  GEOSCIENZE E   |         |   ECONOMIA E    |
|   E BIOLOGICHE  |         |   PIANIFICAZ.   |         | GIURISPRUDENZA  |
|  (Ecotossicol,  |         |   (Geologia,    |         | (Diritto Amb.,  |
|   Fitodepur.)   |         |  Urbanistica)   |         | Valutaz. Econ.) |
+-----------------+         +-----------------+         +-----------------+
Con le Geoscienze (Geologia e Geomorfologia): La collaborazione è fondamentale nella fase di caratterizzazione del sottosuolo e di definizione del modello geologico di riferimento, base imprescindibile per qualsiasi opera di consolidamento o fondazione.

Con le Scienze Biologiche e Chimiche: Essenziale per comprendere i cicli biogeochimici degli inquinanti, valutare l'ecotossicità nei corpi idrici e progettare sistemi di biorisanamento (bioremediation) e fitodepurazione.

Con la Pianificazione Territoriale e l'Urbanistica: Integrazione delle valutazioni di impatto ambientale (VIA, VAS) e dei vincoli di rischio nei piani regolatori generali (PRG) e nei piani di assetto idrogeologico (PAI).

Con le Discipline Giuridiche ed Economiche: L'azione ingegneristica deve muoversi nel rigido perimetro delle normative vigenti (es. D.Lgs. 152/2006 in Italia) e deve essere supportata da analisi costi-benefici che dimostrino la fattibilità economica e la sostenibilità a lungo termine degli interventi.

4. L'Etica Professionale e la Responsabilità Sociale
Il ruolo dell'ingegnere non si esaurisce nell'applicazione rigorosa di formule matematiche e norme tecniche, ma è intrinsecamente legato a una profonda responsabilità etica.

I moderni codici deontologici impongono all'ingegnere di anteporre la sicurezza, la salute e il benessere pubblico, nonché la tutela dell'ambiente, a qualsiasi interesse di parte o puramente economico.

I Principi Etici Cardine dell'Ingegnere Ambientale
Il Principio di Precauzione: Laddove sussistano minacce di danni gravi o irreversibili, la mancanza di assoluta certezza scientifica non deve essere usata come pretesto per differire l'adozione di misure dirette a prevenire il degrado ambientale.

Equità Intergenerazionale: Progettare opere e infrastrutture pensando non solo alle esigenze del presente, ma garantendo che le generazioni future non debbano farsi carico di esternalità negative (es. esaurimento delle risorse, accumulo di rifiuti non gestibili, siti contaminati).

Indipendenza e Integrità di Giudizio: Nelle valutazioni di impatto (VIA, VAS) e nelle perizie, l'ingegnere deve operare con assoluta obiettività scientifica, resistendo a pressioni politiche o economiche che mirino a sottostimare i rischi ambientali di un'opera.

Trasparenza e Divulgazione: Capacità di comunicare i rischi e le scelte progettuali alla cittadinanza in modo chiaro, scientifico e privo di tecnicismi barocchi, favorendo processi partecipativi e riducendo l'opposizione sociale (sindrome NIMBY - Not In My Back Yard).

Conclusione
L’ingegnere, attraverso l'uso consapevole delle tecnologie e una solida preparazione multidisciplinare, non è più un mero ""costruttore"", bensì un custode attivo del territorio. Il successo della sua azione risiede nella capacità di coniugare il rigore quantitativo dell'ingegneria con il rispetto delle dinamiche naturali e i vincoli etici della professione, garantendo uno sviluppo che sia realmente sostenibile e resiliente per le sfide del XXI secolo.",,,16
,"Il candidato tratti a sua scelta uno dei seguenti temi:
- l’Autorizzazione Integrata Ambientale (AIA), discutendo la normativa di riferimento e
 illustrando la sua applicazione nel campo del trattamento dei rifiuti.
- i sistemi di difesa dalle piene in ambito urbano e naturale, con particolare riferimento a:
tipologie e funzioni, criteri di scelta delle opere, e criteri di progettazione delle opere.","0,00%",,,,17
,"a - Un collettore fognario raccoglie i reflui di un’area industriale e li convoglia in un
impianto di depurazione che tratta esclusivamente tali scarichi. Le caratteristiche medie
dei reflui industriali convogliati al depuratore sono:
• portata 150 m3 h-1
;
• 6,5 t COD d-1 (si consideri un rapporto BOD5/COD pari a 0,4);
• 1 t Ntot d-1
(di cui il 70% è TKN ed il 30% è azoto nitrico e nitroso);
• 0,2 t TAS d-1 (tensioattivi non ionici);
• 1 t SST d-1
;
• 0,1 t Ptot d-1
.
Il candidato dimensioni (compresi i ricircoli ed il calcolo dei reattivi chimici) una linea di
trattamento per la depurazione del liquame industriale composta da:
 grigliatura grossolana e microgrigliatura;
 vasca di omogeneizzazione;
 ossidazione chimica (ad es. reattivo di Fenton);
 ossidazione biologica mediante reattore a FA con schema di pre denitrificazione
(si ipotizzi che SSV/SST = 0,65);
 post defosfatazione chimica;
 disinfezione finale;
tenendo conto del rispetto dei limiti normativi riportati nel Dlgs 152/2006 Parte III
Allegato 5 Tab.3 (scarico in corpo idrico).
Il candidato individui i processi idonei per trattare i fanghi generati dalla linea acque e li
dimensioni. Infine, si disegni la planimetria dell’intero impianto.","0,00%",,,,18
,"Il candidato descriva l'impatto delle acque meteoriche su un sistema costituito da fognatura di tipo
unitario e impianto di depurazione delle acque reflue.
Illustri altresì le possibili soluzioni tecniche da porre in essere per ridurre l'apporto di acque
meteoriche non suscettibili di contaminazione in fognatura di tipo misto e all'impianto di
depurazione.","20,00%",,,,19
,"Il Candidato descriva le fasi di cui si compone il PROCESSO A FANGHI ATTIVI, i parametri di influenza
e le modalità di influenza, nonché i parametri di dimensionamento.","80,00%",,,,20
,"Il Candidato esponga il concetto di valutazione della sicurezza strutturale con metodi probabilistici
secondo le Norme Tecniche per le Costruzioni:
Aspetti probabilistici nella definizione dei carichi agenti e della resistenza dei materiali;
Metodi di valutazione della sicurezza strutturale probabilistici e semi-probabilistici con
particolare riferimento a:
o Casi di carico e loro combinazione;
o Stati Limite Ultimi e di Esercizio;
o Ruolo dell'azione sismica.","30,00%",,,,21
,"Il candidato illustri le ricadute delle tematiche relative alla sostenibilità ambientale e allo sviluppo
sostenibile nel progetto di architettura alla scala edilizia e/o urbana.","60,00%",,,,22
,"Il candidato definisca il significato di ""sistema di drenaggio urbano"" e descriva funzioni e
caratteristiche dei sistemi unitari e dei sistemi separati.","0,00%",,,,23
,"Candidato elenchi e descriva le fasi di cui si compone un impianto di depurazione che tratta
esclusivamente reflui urbani.","0,00%",,,,24
,"Il candidato definisca il significato di ""impianto di distribuzione"" di un acquedotto e descriva:
i compiti cui una rete di distribuzione idrica deve assolvere;
i fabbisogni potabili e sanitari da assumere per il dimensionamento e la verifica di una rete di
distribuzione idrica;
le condizioni di esercizio che una rete di distribuzione idrica deve in ogni caso garantire.","0,00%",,,,25
,Il candidato elenchi e descriva le alternative di smaltimento e recupero dei RSU.,"0,00%",,,,26
,"Il candidato scelga un’opera di Ingegneria civile e/o ambientale e formuli l’indice della relazione
tecnica di accompagnamento al progetto (di tipo definitivo). Di ogni capitolo dell’indice descriva
sinteticamente il contenuto, evidenziando in particolare le finalità, le metodologie e i risultati attesi.
Il candidato elenchi inoltre gli elaborati (grafici e/o di altro tipo) che, a suo avviso, devono
costituire la documentazione progettuale.","0,00%",,,,27
,"Il candidato descriva le alternative impiantistiche per la rimozione dalle acque di scarico dell’azoto
nitrico riportando per ciascun comparto i criteri di dimensionamento e le modalità di calcolo dei
ricircoli.","0,00%",,,,28
,"Il candidato descriva i principali interventi strutturali e non strutturali per la difesa idraulica del
territorio e la mitigazione del rischio di alluvione.","0,00%",,,,29
,"Nel quadro generale di cui ai paragrafi “4.2 Costruzioni in Acciaio” e “11.3 Acciaio” del Decreto
Ministeriale 17 gennaio 2018 – Norme Tecniche per le Costruzioni, il candidato riferisca in merito
a:
• Comportamento costitutivo: fase elastica, fase plastica, viscosità, duttilità e rottura.
• Classificazione delle sezioni: motivazioni, definizioni e ricadute progettuali.
• Acciai per calcestruzzo armato, calcestruzzo armato precompresso e per strutture metalliche:
aspetti generali, classificazione, proprietà meccaniche, prove e controlli di accettazione in
cantiere.","0,00%",,,,30
,"Il candidato descriva le alternative impiantistiche per la rimozione dalle acque di scarico dell’azoto
nitrico riportando per ciascun comparto i criteri di dimensionamento e le modalità di calcolo dei
ricircoli.","0,00%",,,,31
,"Il candidato descriva i principali interventi strutturali e non strutturali per la difesa idraulica del
territorio e la mitigazione del rischio di alluvione.","0,00%",,,,32
,"Nel quadro generale di cui ai paragrafi “4.2 Costruzioni in Acciaio” e “11.3 Acciaio” del Decreto
Ministeriale 17 gennaio 2018 – Norme Tecniche per le Costruzioni, il candidato riferisca in merito
a:
• Comportamento costitutivo: fase elastica, fase plastica, viscosità, duttilità e rottura.
• Classificazione delle sezioni: motivazioni, definizioni e ricadute progettuali.
• Acciai per calcestruzzo armato, calcestruzzo armato precompresso e per strutture metalliche:
aspetti generali, classificazione, proprietà meccaniche, prove e controlli di accettazione in
cantiere.","0,00%",,,,33
